pop_total,zip code tabulation area,pop_white,pop_black,pop_hispanic
2926.0,45054,2816.0,0.0,90.0
27957.0,45056,23682.0,1008.0,739.0
84.0,45112,84.0,0.0,0.0
143.0,45115,110.0,0.0,0.0
1467.0,45148,1463.0,1.0,0.0
32618.0,45150,30505.0,727.0,632.0
1667.0,45168,1634.0,0.0,28.0
9434.0,45176,9129.0,128.0,34.0
11082.0,45209,9000.0,1183.0,297.0
1298.0,45788,1298.0,0.0,0.0
265.0,45819,255.0,2.0,1.0
2923.0,45832,2756.0,17.0,83.0
55820.0,45840,48776.0,955.0,3505.0
2871.0,45845,2848.0,0.0,19.0
1279.0,45863,1247.0,14.0,18.0
1113.0,45867,1030.0,37.0,23.0
4106.0,45872,3651.0,8.0,399.0
1634.0,45889,1546.0,0.0,39.0
6912.0,45383,6826.0,0.0,12.0
456.0,45354,436.0,7.0,13.0
10809.0,45404,8372.0,1846.0,325.0
16845.0,45405,4410.0,10822.0,622.0
309.0,45621,309.0,0.0,0.0
138.0,45622,138.0,0.0,0.0
0.0,45624,0.0,0.0,0.0
5082.0,45628,4720.0,202.0,60.0
21715.0,45638,20222.0,602.0,414.0
13865.0,45002,13376.0,56.0,178.0
35704.0,45701,30426.0,1396.0,904.0
1232.0,45711,1222.0,0.0,10.0
2747.0,45744,2634.0,7.0,0.0
1000.0,45766,977.0,4.0,19.0
3617.0,45786,3607.0,10.0,0.0
19125.0,45030,18556.0,53.0,229.0
87.0,45041,87.0,0.0,0.0
3690.0,45053,3690.0,0.0,0.0
51117.0,45069,39489.0,4138.0,1739.0
3579.0,45118,3284.0,17.0,255.0
398.0,45132,383.0,0.0,0.0
11656.0,45152,11134.0,114.0,71.0
241.0,45164,225.0,0.0,5.0
37201.0,45211,21184.0,13364.0,1018.0
5638.0,45318,5461.0,17.0,58.0
70.0,45773,70.0,0.0,0.0
330.0,45816,320.0,0.0,6.0
4117.0,45843,4003.0,1.0,74.0
14630.0,45631,13739.0,190.0,178.0
746.0,45851,708.0,0.0,30.0
2880.0,45858,2592.0,0.0,168.0
1670.0,45681,1659.0,0.0,0.0
1177.0,45654,1177.0,0.0,0.0
6956.0,45661,6779.0,14.0,44.0
8731.0,45692,8564.0,11.0,60.0
1595.0,45696,1503.0,0.0,34.0
9388.0,45714,8729.0,204.0,134.0
7058.0,45769,6765.0,118.0,55.0
10040.0,45669,9620.0,53.0,26.0
2357.0,45645,2326.0,0.0,31.0
2579.0,45647,2536.0,0.0,0.0
6364.0,45656,6154.0,27.0,0.0
367.0,45673,367.0,0.0,0.0
651.0,45674,485.0,111.0,12.0
608.0,45688,600.0,0.0,0.0
13156.0,45249,9012.0,694.0,1046.0
2370.0,45306,2257.0,0.0,56.0
4139.0,45308,4094.0,10.0,4.0
6197.0,45311,5996.0,3.0,30.0
851.0,45321,842.0,3.0,6.0
9356.0,45327,8947.0,70.0,298.0
22041.0,45331,21129.0,196.0,201.0
2117.0,45334,2060.0,32.0,14.0
5009.0,45338,4949.0,6.0,16.0
552.0,45003,547.0,2.0,0.0
31371.0,45005,29693.0,303.0,495.0
6849.0,45232,1107.0,5094.0,409.0
18503.0,45208,15992.0,932.0,649.0
7791.0,45214,1758.0,5571.0,133.0
3915.0,45218,3051.0,542.0,57.0
45614.0,45238,33556.0,8877.0,1801.0
27161.0,45240,6463.0,16180.0,1566.0
20800.0,45245,19499.0,246.0,155.0
4172.0,45302,4135.0,0.0,22.0
6010.0,45314,5272.0,361.0,154.0
1226.0,45317,1226.0,0.0,0.0
4973.0,45323,4741.0,85.0,51.0
1918.0,45337,1883.0,6.0,29.0
380.0,45349,363.0,4.0,13.0
25209.0,45356,22976.0,631.0,229.0
348.0,45358,338.0,0.0,0.0
2479.0,45370,2437.0,0.0,20.0
3288.0,45390,2792.0,56.0,408.0
19432.0,45406,2500.0,15577.0,396.0
16079.0,45410,12483.0,1798.0,897.0
17914.0,45449,14424.0,2005.0,680.0
13868.0,45506,7557.0,4371.0,792.0
4825.0,45614,4237.0,286.0,161.0
16079.0,45640,15193.0,143.0,281.0
7246.0,45660,6806.0,95.0,33.0
1086.0,45678,1086.0,0.0,0.0
5222.0,45710,5154.0,23.0,33.0
