tract,state,county,pop_total,pop_white,pop_black,pop_hispanic
111505,36,103,6852.0,3660.0,1091.0,1305.0
111704,36,103,3477.0,3168.0,0.0,229.0
112002,36,103,4629.0,3696.0,68.0,609.0
112210,36,103,7505.0,5448.0,313.0,398.0
112214,36,103,6276.0,4860.0,261.0,183.0
122502,36,103,5132.0,295.0,3337.0,1366.0
145603,36,103,6564.0,924.0,917.0,4431.0
145605,36,103,4078.0,787.0,541.0,2632.0
110502,36,103,2653.0,2564.0,21.0,10.0
145901,36,103,3359.0,1359.0,477.0,1363.0
146605,36,103,986.0,790.0,48.0,98.0
146614,36,103,5177.0,4670.0,52.0,285.0
110803,36,103,6093.0,5355.0,46.0,629.0
111001,36,103,2104.0,1655.0,53.0,265.0
111601,36,103,4311.0,3834.0,94.0,336.0
111701,36,103,5979.0,5268.0,29.0,534.0
111803,36,103,2848.0,2383.0,87.0,242.0
112001,36,103,5371.0,3930.0,101.0,913.0
112211,36,103,4588.0,3505.0,172.0,321.0
112213,36,103,5154.0,3142.0,243.0,401.0
159204,36,103,4008.0,3005.0,277.0,664.0
159406,36,103,4840.0,3521.0,294.0,824.0
159505,36,103,7816.0,5776.0,436.0,1539.0
147901,36,103,4348.0,3605.0,162.0,495.0
158103,36,103,4544.0,3100.0,92.0,1104.0
158203,36,103,1508.0,1228.0,29.0,117.0
158309,36,103,4594.0,2770.0,570.0,756.0
158402,36,103,4439.0,3629.0,54.0,675.0
158403,36,103,2130.0,1520.0,341.0,159.0
158509,36,103,4814.0,3491.0,258.0,712.0
158605,36,103,4767.0,3642.0,157.0,446.0
158704,36,103,8447.0,4452.0,1229.0,2591.0
158710,36,103,3866.0,2602.0,575.0,487.0
159105,36,103,7289.0,4862.0,209.0,1855.0
159404,36,103,6568.0,4100.0,936.0,1075.0
159408,36,103,4688.0,3033.0,331.0,1041.0
201003,36,103,3165.0,2194.0,201.0,736.0
170201,36,103,6117.0,5482.0,12.0,548.0
159506,36,103,9097.0,4461.0,1206.0,3328.0
169701,36,103,8034.0,7264.0,182.0,485.0
190502,36,103,2497.0,1888.0,28.0,440.0
122603,36,103,5742.0,3949.0,453.0,950.0
122902,36,103,4230.0,3806.0,20.0,235.0
123401,36,103,4233.0,2700.0,516.0,858.0
123500,36,103,6267.0,3943.0,999.0,1186.0
124500,36,103,5324.0,4096.0,41.0,392.0
124602,36,103,4117.0,3651.0,27.0,278.0
135104,36,103,5519.0,5093.0,33.0,195.0
158408,36,103,3965.0,3577.0,65.0,172.0
159203,36,103,5730.0,4842.0,216.0,549.0
158507,36,103,3952.0,2834.0,39.0,523.0
147602,36,103,4904.0,4508.0,74.0,308.0
158108,36,103,2866.0,1798.0,33.0,333.0
158505,36,103,4400.0,3540.0,74.0,331.0
158510,36,103,7168.0,5643.0,61.0,909.0
158606,36,103,4671.0,4103.0,13.0,371.0
158803,36,103,6648.0,4883.0,212.0,1105.0
159000,36,103,4647.0,2924.0,122.0,1511.0
159102,36,103,6721.0,4691.0,324.0,1453.0
159201,36,103,2897.0,2342.0,1.0,551.0
170001,36,103,5784.0,5203.0,10.0,489.0
170202,36,103,4164.0,3523.0,90.0,419.0
190402,36,103,2576.0,1948.0,127.0,466.0
159508,36,103,6654.0,5154.0,383.0,785.0
190601,36,103,4513.0,3737.0,18.0,491.0
201001,36,103,6912.0,5132.0,169.0,1214.0
158607,36,103,3312.0,2415.0,120.0,666.0
190706,36,103,4420.0,3465.0,277.0,507.0
190800,36,103,3263.0,2634.0,239.0,334.0
110501,36,103,2744.0,2456.0,9.0,167.0
110200,36,103,4946.0,4433.0,109.0,87.0
122802,36,103,3922.0,2376.0,475.0,874.0
124200,36,103,5173.0,4033.0,45.0,886.0
